,,,,,,,,Performance Expectancy,,,,,,Effort Expectancy,,,,,,Social Influence,,,,,,Facilitating Condition,,,,,,Hedonic Motivation,,,,,,Price Value,,,,,,Habit,,,,,,Health Literation,,,,,,Perceived Health Risk ,,,,,,Indigenous Knowledge / Local Wisdom,,,,,,Government Support,,,,,,Security dan Privacy,,,,,,,Trust,,,,Behaviour Intention,,,,
,,,,,,,,PE1,PE2,PE3,PE4,PE5,,EE1,EE2,EE3,EE4,EE5,,SI1,SI2,SI3,SI4,SI5,,FC1,FC2,FC3,FC4,FC5,,HM1,HM2,HM3,HM4,HM5,,PV1,PV2,PV3,PV4,PV5,,HB1,HB2,HB3,HB4,HB5,,HL1,HL2,HL3,HL4,HL5,,PHR1,PHR2,PHR3,PHR4,PHR5,,IK1,IK2,IK3,IK4,IK5,,GS1,GS2,GS3,GS4,GS5,,SC1,SC2,SC3,SC4,SC5,SC6,,TR1,TR2,TR3,,BI1,BI2,BI3,BI4,BI5
Usia,Pekerjaan,Pendidikan Terakhir,Provinsi,Berapa rata-rata pendapatan keluarga Anda per bulan?,Aplikasi Kesehatan kehamilan apa yang paling sering Anda gunakan ,Berapa lama Anda telah menggunakan aplikasi kesehatan tersebut?,Performance Expectancy,"Aplikasi ini mempermudah saya dalam memperoleh informasi penting mengenai kesehatan kehamilan, seperti tips untuk menjaga kehamilan tetap sehat.","Saya percaya aplikasi ini membantu saya selama kehamilan, seperti yang disampaikan oleh bidan atau keluarga",Aplikasi ini sesuai dengan kebutuhan saya sebagai ibu hamil untuk memantau perkembangan kehamilan dan mendukung kesehatan saya serta bayi,"Aplikasi ini lebih praktis dan memberikan manfaat lebih besar dibandingkan metode lain, seperti bertanya kepada tetangga atau mencari informasi yang mungkin tidak akurat",Aplikasi ini membuat saya lebih percaya diri selama kehamilan,"Effort Expectancy        
        
        
        
        ","Aplikasi ini sangat mudah digunakan, dan saya dapat belajar cara menggunakannya dengan cepat tanpa perlu bantuan tambahan",Aplikasi ini memiliki tampilan yang sederhana dan mudah digunakan,Fitur dan fungsi aplikasi ini mudah dipahami oleh pengguna dengan keterampilan teknis dasar atau tanpa keterampilan teknis sama sekali,"Saya dapat dengan mudah menemukan informasi kesehatan maternal, seperti tips kehamilan, tanpa perlu menghabiskan banyak waktu untuk mencarinya",Aplikasi ini membantu saya mencatat informasi kesehatan dengan lebih mudah,Social Influence,"Saya menggunakan aplikasi ini karena orang-orang di sekitar saya, seperti keluarga atau petugas kesehatan, meyakini bahwa aplikasi ini bermanfaat bagi kehamilan saya",Saya menggunakan aplikasi ini karena orang yang penting bagi saya menyarankan untuk menggukaan aplikasi ini pada masa kehamilan saya,Saya menggunakan aplikasi ini karena orang yang berpengaruh dalam hidup saya menyarankan bahwa menggunakan aplikasi ini selama kehamilan adalah pilihan yang baik.,"Saya menggunakan aplikasi ini karena orang-orang di komunitas atau lingkungan sosial saya telah menggunakannya atau merekomendasikannya, sehingga saya lebih percaya diri dalam menggunakannya",Saya menggunakan aplikasi ini karena membuat saya merasa bertanggung jawab dan modern dalam mengelola kehamilan dengan bantuan teknologi,Facilitating Condition,Saya merasa percaya diri dalam menggunakan aplikasi ini dengan baik selama kehamilan saya karena saya sudah memiliki keterampilan dan pengetahuan yang diperlukan,Saya memiliki perangkat yang mendukung pengoperasian aplikasi ini.,Saya dapat meminta bantuan orang lain ketika saya merasa kesulitan saat menggunakan aplikasi ini,Saya mempunyai jaringan internet mobile atau Wi-Fi yang memadai untuk penggunaan aplikasi ini,Aplikasi ini dapat beroperasi dengan lancar pada perangkat yang saya gunakan,Hedonic Motivation,Saya merasa aplikasi ini menarik dan menyenangkan untuk digunakan selama perjalanan kesehatan maternal saya,Aplikasi ini memiliki fitur dan konten yang menarik dan membuat saya terhibur sambil belajar tentang kehamilan,Aplikasi ini menarik bagi saya dan membuat saya ingin terus menggunakan aplikasinya secara rutin,"Saya menggunakan aplikasi ini bukan hanya karena fungsinya, tapi juga karena saya menikmatinya",Saya merasa puas menggunakan aplikasi ini untuk mengakses informasi atau memantau kehamilan saya.,Price Value,Aplikasi ini menyediakan konten dan layanan berkualitas tinggi yang sesuai dengan harapan saya,Biaya penggunaan aplikasi ini (jika ada) wajar dan terjangkau dibandingkan dengan manfaat yang diberikan,Saya merasa bahwa biaya penggunaan aplikasi ini (jika ada) wajar dan terjangkau dibandingkan dengan aplikasi kesehatan maternal lainnya,Saya merasa aplikasi ini hemat dalam penggunaan data internet saat diunduh dan digunakan,"Saya merasa aplikasi ini memberikan nilai yang sangat baik untuk harganya, dengan kualitas yang baik dan harga yang terjangkau",Habit,Saya sudah pernah menggunakan aplikasi ini sebelumnya dan merasa aplikasi ini sangat berguna untuk kebutuhan saya,Saya merasa perlu menggunakan aplikasi ini saat ingin mengakses informasi atau memantau kehamilan saya.,Saya tertarik untuk menggunakan aplikasi ini secara rutin karena fitur-fiturnya yang bermanfaat dan menarik,Saya menggunakan aplikasi ini tanpa ragu ketika ingin mengakses informasi atau memantau kehamilan saya,Menggunakan aplikasi ini sudah menjadi bagian alami dari rutinitas harian saya selama kehamilan,Health Literation,Saya menggunakan aplikasi kesehatan untuk mendapatkan informasi akurat mengenai kesehatan ibu dan anak sesuai dengan kebutuhan saya,"Saya dapat memahami informasi kesehatan yang disediakan dalam aplikasi ini, seperti tentang kesehatan kehamilan dan pemeriksaan kehamilan",Saya menggunakan informasi yang saya dapatkan dari aplikasi ini untuk menjaga kesehatan kehamilan dan anak saya,"Saya dapat membedakan informasi kesehatan yang terpercaya dalam aplikasi ini dibandingkan dengan sumber lain, seperti media sosial atau cerita dari orang lain",Saya lebih percaya diri untuk berdiskusi dengan bidan atau dokter karena saya telah memahami informasi kesehatan dari aplikasi kesehatan,"Perceived Health Risk        
        
        
        
        ",Saya merasa berisiko mengalami masalah kesehatan kehamilan tanpa menggunakan aplikasi kesehatan,Saya yakin bahwa dari masalah kesehatan kehamilan yang mungkin saya alami sangat serius bagi saya dan bayi.,"Saya merasa rentan terhadap masalah kesehatan kehamilan, terutama tanpa menggunakan aplikasi kesehatan.",Saya menggunakan aplikasi ini karena saya ingin menghindari konsekuensi jangka panjang dari masalah kesehatan kehamilan.,Saya merasa lebih memahami risiko kehamilan yang sebelumnya tidak saya ketahui setelah menggunakan aplikasi ini,"Indigenous Knowledge / Local Wisdom        
        
        
        
        
        
        
        
        
        ","Saya merasa bahwa pengetahuan lokal (saran / pantangan makanan tradisional / jamu, saran/pantangan aktivitas tertentu ) mengenai kehamilan masih relevan untuk diterapkan saat ini.",Saya lebih nyaman menggunakan aplikasi jika informasi yang diberikan mempertimbangkan budaya lokal.,Saya akan lebih tertarik menggunakan aplikasi jika ada fitur yang menampilkan saran dari bidan desa atau dukun anak.,Saya akan merasa lebih yakin jika aplikasi ini disarankan oleh tokoh masyarakat atau dukun bayi.,Saya merasa penting bahwa aplikasi ini bisa menjadi wadah untuk melestarikan praktik lokal terkait kesehatan ibu dan anak.,Government Support,Pemerintah aktif mendukung program dengan mengadakan pelatihan atau sosialisasi mengenai cara penggunaan aplikasi kesehatan. ,Pemerintah telah mengatur kebijakan yang jelas untuk penggunaan aplikasi kesehatan ibu hamil. ,"Pemerintah menyediakan fasilitas yang memudahkan saya mengakses aplikasi kesehatan (misalnya Wi-Fi, pelatihan, atau alat digital). ",Pemerintah mendukung penggunaan aplikasi ini melalui subsidi atau bantuan biaya. ,Pemerintah aktif mempromosikan aplikasi kesehatan ini melalui media lokal atau kegiatan di desa. ,Security dan Privacy,"Saya merasa bahwa data pribadi saya dilindungi dengan baik oleh aplikasi ini, sehingga saya tidak khawatir mengenai kebocoran atau penyalahgunaan informasi saya.","Saya merasa bahwa sistem autentikasi yang digunakan dalam aplikasi ini sangat kuat dan aman, sehingga hanya saya yang dapat mengakses akun saya dengan mudah dan nyaman.","Saya yakin bahwa setiap informasi yang saya bagikan melalui aplikasi ini telah dienkripsi dengan baik, sehingga tetap terjaga kerahasiaannya dan tidak dapat diakses oleh pihak yang tidak berwenang.","Saya yakin bahwa aplikasi ini benar-benar menjaga kerahasiaan data pribadi saya dengan baik, sehingga saya merasa aman dalam menggunakannya setiap hari.","Informasi yang diberikan oleh aplikasi ini tentang bagaimana data pribadi saya digunakan sangat jelas dan transparan, sehingga saya memahami dengan baik bagaimana data saya dikelola.",Aplikasi ini meminta izin saya sebelum data pribadi digunakan untuk tujuan tertentu.,Trust,Saya percaya aplikasi ini dikembangkan oleh tenaga ahli di bidang kesehatan ibu dan anak,Saya percaya bahwa aplikasi ini dirancang untuk membantu kesehatan saya dan janin saya,Saya merasa nyaman menggunakan aplikasi ini untuk memantau kesehatan saya selama kehamilan,Behaviour Intention,Saya berencana untuk terus menggunakan aplikasi kesehatan untuk kebutuhan kesehatan maternal di masa depan,Saya berencana untuk lebih sering menggunakan aplikasi kesehatan untuk kebutuhan kesehatan maternal di masa depan,Saya akan lebih memilih menggunakan di aplikasi ini dibandingkan dengan aplikasi kesehatan maternal lainnya      ,Saya akan merekomendasikan aplikasi ini kepada wanita hamil lain di komunitas saya,Saya yakin aplikasi ini menyediakan informasi dan layanan berkualitas tinggi yang dapat diandalkan untuk memenuhi kebutuhan kesehatan maternal saya.
31 -35 Tahun,Guru / Dosen,,Jawa Tengah,Rp2.500.000 - Rp5.000.000,theAsianparent,> 2 Tahun,,4,3,3,3,3,,3,4,4,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,2,3,3,2,2,,3,3,3,2,2,,3,3,3,3,3,3,,3,3,3,,4,3,3,4,4
20 - 25 Tahun,Wiraswasta/Pemilik Bisnis,,Jawa Tengah,Rp5.000.000 - Rp10.000.000,HalloBumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
31 -35 Tahun,Ibu rumah tangga,,Jawa Timur,Rp5.000.000 - Rp10.000.000,theAsianparent,< 1 Tahun,,3,4,3,3,4,,3,3,3,3,3,,3,3,2,2,3,,4,4,2,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,3,4,3,,4,4,4,4,4,,3,3,2,2,3,,3,4,1,1,1,,4,3,3,3,3,3,,3,3,3,,4,3,3,4,4
26 - 30 Tahun,Pegawai Swasta,,DKI Jakarta,> Rp10.000.000,Pregnancy+,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,2,3,,2,2,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Pegawai Swasta,,Jambi,Rp5.000.000 - Rp10.000.000,Flo,> 2 Tahun,,4,4,4,2,2,,4,4,4,4,4,,1,1,1,1,3,,3,4,1,4,4,,4,4,4,4,4,,4,3,3,4,3,,4,3,4,4,4,,4,4,4,4,4,,1,3,2,3,3,,2,1,1,1,1,,1,3,1,1,1,,4,3,4,4,3,3,,4,4,4,,4,3,4,2,3
20 - 25 Tahun,Guru / Dosen,,Jawa Barat,Rp1.000.000 - Rp2.500.000,Flo,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,1,3,3,,3,3,3,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
> 35 Tahun,Guru / Dosen,,Jawa Barat,Rp5.000.000 - Rp10.000.000,amma,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,4,,4,4,3,4,4,,4,4,3,3,4,,4,3,3,3,3,,4,4,4,4,4,,4,4,4,4,4,,3,4,3,4,4,,3,4,3,3,4,,3,3,3,3,3,,4,4,4,4,4,3,,4,4,4,,4,3,3,3,4
20 - 25 Tahun,Pegawai Swasta,,Jawa Barat,Rp2.500.000 - Rp5.000.000,Flo,1 - 2 Tahun,,4,4,4,4,3,,4,4,4,4,4,,3,3,3,3,3,,4,4,3,4,4,,4,3,3,3,3,,3,2,2,4,3,,3,3,4,4,3,,3,3,3,4,3,,2,4,2,4,3,,1,4,4,1,4,,4,4,4,4,4,,3,3,4,3,3,3,,4,4,4,,3,3,2,3,3
