Responden_ID,Jenis_Kelamin,Kelompok_Usia,Pendidikan,Pengalaman_Kerja,Divisi,PU1_Model_segmentasi_meningkatkan_efisiensi_kerja,PU2_Model_membantu_menyelesaikan_pekerjaan_lebih_cepat,PU3_Model_meningkatkan_produktivitas,PU4_Model_meningkatkan_kualitas_keputusan_pemasaran,PU5_Model_segmentasi_berguna_bagi_bisnis,PEOU1_Mudah_mempelajari_model_segmentasi,PEOU2_Mudah_mengoperasikan_model,PEOU3_Antarmuka_model_jelas_dan_mudah_dipahami,PEOU4_Mudah_menjadi_terampil_menggunakan_model,PEOU5_Model_segmentasi_tidak_memerlukan_usaha_besar,ATU1_Menggunakan_model_segmentasi_adalah_ide_baik,ATU2_Penggunaan_model_merupakan_keputusan_bijak,ATU3_Saya_menyukai_penggunaan_model_segmentasi,ATU4_Model_segmentasi_memberikan_pengalaman_positif,BI1_Saya_berniat_menggunakan_model_di_masa_depan,BI2_Saya_akan_selalu_mencoba_menggunakan_model,BI3_Saya_berencana_menggunakan_model_secara_rutin,BI4_Saya_akan_merekomendasikan_model_kepada_rekan,ASU1_Saya_menggunakan_model_secara_rutin,ASU2_Frekuensi_penggunaan_model_saya_tinggi,ASU3_Model_sudah_terintegrasi_dalam_pekerjaan_saya
R001,Laki-laki,35-44,SMA/Sederajat,4-6 tahun,Penjualan,4,4,4,4,5,4,4,4,4,4,3,3,3,3,5,4,4,4,4,4,4
R002,Laki-laki,35-44,SMA/Sederajat,>6 tahun,CRM,4,5,4,3,3,3,4,3,4,4,3,3,4,4,5,4,4,5,4,4,3
R003,Perempuan,<25,S1,<1 tahun,Analis Data,3,3,3,3,4,4,4,4,5,5,5,4,5,4,4,3,3,2,4,5,3
R004,Laki-laki,45-54,S1,1-3 tahun,Pemasaran,4,4,5,4,5,5,5,5,5,4,5,5,4,5,4,4,5,5,5,5,5
R005,Perempuan,25-34,S1,4-6 tahun,Analis Data,4,3,5,4,5,3,3,4,3,4,5,3,4,3,3,4,3,4,4,4,3
R006,Laki-laki,25-34,S1,>6 tahun,CRM,3,4,3,4,3,4,4,4,4,4,3,5,3,3,3,3,2,4,4,4,4
R007,Perempuan,45-54,S1,1-3 tahun,Analis Data,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4
R008,Perempuan,≥55,S2/S3,4-6 tahun,Pemasaran,4,5,5,4,4,5,5,4,4,4,3,4,3,2,3,4,4,4,3,3,3
R009,Perempuan,45-54,S1,<1 tahun,Penjualan,3,3,3,3,3,4,5,3,3,3,4,4,4,4,3,4,3,3,1,3,3
R010,Laki-laki,45-54,SMA/Sederajat,1-3 tahun,Penjualan,5,5,5,5,4,4,3,4,4,4,3,4,4,4,4,3,4,2,5,3,5
R011,Laki-laki,35-44,S1,>6 tahun,Pemasaran,4,4,3,3,3,4,4,3,5,4,3,3,3,2,5,5,4,4,5,3,4
R012,Laki-laki,35-44,Diploma,>6 tahun,Pemasaran,3,5,4,4,4,3,4,3,4,4,4,5,5,4,4,5,4,5,4,4,4
R013,Perempuan,<25,Diploma,<1 tahun,Pemasaran,3,5,5,5,5,4,4,4,3,5,4,5,4,5,4,4,3,5,4,5,4
R014,Laki-laki,25-34,S2/S3,>6 tahun,Analis Data,3,3,3,2,3,2,2,2,2,2,3,3,3,3,3,4,4,4,4,2,2
R015,Laki-laki,25-34,Diploma,4-6 tahun,Analis Data,3,5,5,5,5,2,2,3,3,3,4,4,4,4,4,4,5,4,5,4,5
R016,Perempuan,25-34,S1,>6 tahun,Analis Data,4,4,5,4,4,4,4,3,5,4,3,4,3,4,4,4,3,4,4,4,3
R017,Laki-laki,35-44,S1,4-6 tahun,Pemasaran,3,5,4,5,3,3,3,3,2,3,4,3,4,4,4,4,4,4,4,4,3
